team,games,win,draw,loss,prizes,href_key
Astralis,832,555,5,272,7301445,astralis
Natus Vincere,1093,659,28,406,5044259,navi-cs-go
Fnatic,1151,703,20,428,4793350,fnatic-cs-go
FaZe Clan,799,464,6,329,4214683,faze-clan
Virtus.pro,1317,693,34,590,3680778,virtus-pro-csgo
Team Liquid,862,518,7,337,3506477,team-liquid-cs-go
SK Gaming,552,323,11,218,3247012,sk-gaming-csgo
MOUZ,1113,604,23,486,3236561,mousesports-cs-go
Ninjas in Pyjamas,1116,637,17,462,2966545,ninjas-in-pyjamas-cs-go
Gambit Esports,516,303,12,201,2936376,gambit-gamingcsgo
G2 Esports,880,486,15,379,2244554,team-kinguin
Team Vitality,391,257,4,130,2153267,team-vitality-1
Cloud9,793,454,4,335,1840006,cloud-9-cs-go
BIG,599,332,1,266,1824972,big3695
Team Envy,727,375,9,343,1723000,envyus
Heroic,700,385,8,307,1542028,heroic-csgo
MIBR,356,177,11,168,1529200,mibr
FURIA Esports,330,202,2,126,1457320,furia-esports
ENCE,491,271,15,205,1299416,ence-esports-cs-go
Complexity Gaming,671,292,7,372,1066750,complexity-cs-go
North,464,264,7,193,1034823,north
Luminosity Gaming,464,234,0,230,1030250,keydstars
OpTic Gaming,535,304,1,230,964666,optic-gaming
Evil Geniuses,187,90,1,96,943325,evil-geniuses-2
00Nation,32,7,0,25,931287,00nation
TyLoo,338,182,6,150,918150,tyloo-cs-go
NRG Esports,497,287,5,205,763000,ex-method
Renegades,576,308,6,262,709586,renegades
Team Dignitas,590,292,16,282,707075,dignitas2k15
HellRaisers,970,494,30,446,694250,ad-cs-go
OG,203,110,2,91,687485,og
AVANGAR,293,190,0,103,667000,avangar3692
MAD Lions,100,54,1,45,656238,-3
Team Kinguin,312,162,7,143,642106,team-kinguin-csgo
Windigo Gaming,261,156,11,94,634590,windigo
Eternal Fire,65,34,0,31,615541,eternal-fire
Space Soldiers,307,181,14,112,563979,space-soldiers533
Team SoloMid,294,177,4,113,551896,team-solomid-csgo
Selectah!,0,,,,551164,selectah
forZe,592,354,4,234,482876,forze
AGO,550,276,12,262,458750,ago-gaming1617
GODSENT,451,219,3,229,412439,godsent-csgo
Team LDLC,547,278,21,248,385478,ldlc-cs-go
mTw,3,0,0,3,371500,mtw1184
Immortals,249,151,0,98,303181,immortals-csgo
Tricked Esport,377,187,15,175,293920,tricked
HAVU Gaming,294,141,12,141,270679,havu-gaming3592
Vega Squadron,161,77,2,82,260397,vega-squadron8483
Sprout,528,292,9,227,260150,sprout
CR4ZY,288,169,9,110,237472,valiance
Epsilon Esports,342,180,9,153,218158,epsilon-e-sports-cs-go
Vici Gaming,101,50,0,51,201070,vici-gaming-cs1
MVP PK,129,70,3,56,198500,mvp-pk
Copenhagen Flames,195,109,0,86,194500,copenhagen-flames3802
FlipSid3 Tactics,441,178,19,244,187487,flipsid3-tactics
VG.CyberZen,64,40,5,19,184686,vici-gaming-cs
Counter Logic Gaming,327,148,0,179,175500,counter-logic-gaming3827
100 Thieves,64,34,1,29,174000,100-thieves
Entropiq,157,95,0,62,160850,entropiq-1
Chaos,184,85,1,98,159500,digital-chaos
Gen.G,56,28,1,27,156706,gen-g-1
Gambit Youngsters,137,82,2,53,140250,gambit-academy-cs
Extra Salt,38,24,0,14,138100,extra-salt
Titan Esports,376,187,14,175,136800,titan-csgo
Team One,162,60,4,98,136000,team-one7215
K23,241,118,2,121,135000,syman-gaming-1
MOUZ NXT,53,41,0,12,132587,mouz-nxt
Team EndPoint,305,144,1,160,129850,team-endpoint6620
Grayhound Gaming,73,37,0,36,129100,grayhound-gaming9536
The Imperial,80,49,0,31,118436,imperial5012
Fnatic Rising,107,53,0,54,116500,fnatic-academy-cs
Tempo Storm,81,38,3,40,114750,tempo-storm-cs-go
Ghost Gaming,201,76,3,122,113778,bee-s-money-crew8816
Sharks Esports,88,38,1,49,110526,sharks-esports2190
Movistar Riders,352,174,1,177,110000,movistar-riders5855
Russian Forces,9,7,2,0,109000,russian-forces
ORDER,75,39,1,35,107806,ex-kings
ALTERNATE aTTaX,470,212,11,247,105200,alternate-cs-go
Rogue,242,119,2,121,104000,rogue-csgo
Illuminar,144,68,0,76,101500,illuminar
Misfits,129,63,6,60,97409,misfits6563
GamerLegion,259,129,0,130,93173,gamerlegion
B.O.O.T-dream[S]cape,87,41,0,46,88371,b-o-o-t-dreamscape6776
Nemiga Gaming,379,186,0,193,87990,nemiga-gaming
ex-Team Dignitas,128,84,1,43,85898,uber-g33kz
Counter Logic Gaming Red,42,27,0,15,85500,counter-logic-gaming-red7206
FPX Esports,46,23,0,23,84461,funplus-phoenix-1
The Mongolz,45,14,3,28,68050,the-mongolz
EURONICS Gaming,99,36,9,54,68000,euronics-gaming
Франция,37,28,1,8,65900,8168
ex-TSM,13,7,0,6,63500,ex-tsm
PENTA Sports,360,144,20,196,62250,berzerk
